ID,Textos,Título
27,"       La fábrica de telas. Recortes de historias y otras                               yerbas  Mirta, Raquel, Etelvina, María Eva, Marta, Ana Rosa y Fernanda estaban reunidas en el bar de Portugal y Rondeau,  nerviosas y expectantes. Hacía mucho que no se veían por el trajín de los días. Sólo se encontraron siete de todas las que  trabajaban juntas en los telares de la EXTESA como le decían en esos tiempos. Felices de verse, contentas por la  propuesta.  Ana, Sonia y Luna, compañeras de escuela, tenían que hacer un trabajo práctico, una investigación sobre la Historia de  nuestro barrio y por eso las convocaron. Querían saber cómo fue que ese predio de la calle Nansen había pasado de ser  la fábrica textil más grande de Latinoamérica en los sesenta a convertirse en un shopping de cuatro pisos, en tal solo  cincuenta años, incluyendo la demolición del antiguo edificio.  Así que se presentaron ruidosamente e iniciaron una charla amistosa.  Etelvina, una de las jóvenes del grupo, comienza a contarles que en los terrenos de la fábrica antes hubo quintas. Su  mamá le había contado que era amiga de la señora Juana Diez quien orgullosa de su trabajo la proveía de verduras  frescas, de esas que se hacían crecer con paciencia, respetando las estaciones y sin químicos.  Al escuchar ese nombre Luna dio un salto en la silla y exclamó: Increíble! Era mi bisabuela. Ella trabajaba allí. Luna  comenta que en su familia la vida de Juana era leyenda.  Juana había venido muy pequeña con su familia de España, por los años 20 y se habían instalado cerca del arroyo  Ludueña. Les había encantado el lugar. Podían tener algunos animales y trabajar la tierra. Había tenido una infancia muy  feliz, lejos de la guerra. Creció y formó su familia junto a su primer amor. Vivieron años agitados con múltiples historias en  el vecindario. Los festejos eran de los buenos. Trascendían el barrio las fiestas que se organizaban para celebrar la  Primavera, las cosechas y los santos.  Lo inesperado después de algunas emociones, las devolvió a indagar sobre la sorprendente historia de la fábrica textil.   ",la fabrica de telas recortes de historias y otras yerbas
28,"                                             Dulces ánimas  DULCES ÁNIMAS    Al niño le gustaba el azúcar. La que la abuela machacaba con canela para adornar el arroz con leche y la que algún  hombre santo le ponía al jarabe para la tos. Y sobre todo, la que chupaba de su dedo más gordo tras enterrarlo furtivo en  el azucarero de cristal. Como ya hacía que escaseaba la caña que venía de las Américas, el azúcar ahora lo sacaban de la  remolacha.  Trabajaban el padre y los tíos en aquellas naves formidables, trajinando a turnos en la sala de calderas o en el silo donde  almacenaban las remolachas. El ingenio resoplaba día y noche, y el padre le tenía dicho al niño que mientras saliera humo  dulce por el ojo cíclope de la torre alcoholera, habría azúcar. Volvían reventados y oliendo a feria y entonces al niño le  daban ganas de hacerse hombre.  Andaban por entonces construyendo una calle que conectaría el centro de Granada con el ingenio de San Juan: hacía falta  aligerar el tránsito de mulas y carros porque el progreso, ya se sabe, no tiene espera. Los domingos, de limpio y con  zapatos, el padre llevaba al niño a ver las obras y mientras comían tejeringos con los dedos aceitosos, se pasmaban con la  fachada del Sagrado Corazón y con cómo iba creciendo, a ojos vista, la casa de la Perra Gorda.  Al costado de la industria germinaron también las casitas de los obreros, como pececillos que se alimentan gentiles de la  gentil ballena, así que, desde su camita, el niño contemplaba con deseo la alta chimenea.  Pero para cuando tenía que haber estado limpiando las remolachas de piedras y raicillas, el padre, que era quien  mandaba, lo envió al seminario. Con las muelas, todas ellas alunaradas por la caries, tuvo el niño que marchar para  hacerse ingeniero. Que lo fue, de los buenos; allá por los altos hornos, donde hacían otras cosas, aunque azúcar no.  Un día, ya de viejo, el niño se murió. Con las mismas se volvió fantasma y como le dio la gana, regresó a la Azucarera, que  casi no humeaba. Aun así, pensó:   Ya era hora pues aquí, sí.   ",dulces animas
29,"                                             LA AZUCARERA  Nunca antes había creído en esa clase de historias. Le parecían cuentos de charlatanes.  Hablaban de personas que, por alguna extraña razón, después de perder la vida, no terminaban de abandonar este  mundo del todo y seguían merodeando por los parajes que habitaron antes, apareciéndose a otros a ciertas horas del día  o, más a menudo, de la noche.  Nunca se había creído una palabra de ellas. Hasta el día que regresó a la azucarera, después del accidente, dispuesto a  pasear entre sus muros de ladrillo y sus hangares vacíos.  Había trabajado en aquella fábrica desde sus comienzos cuando, allá por los albores del siglo veinte, la levantaron en el  corazón de la Vega de Granada para la extracción de azúcar de la remolacha.  Hoy, era el único habitante de aquel conjunto fabril entregado al abandono desde hacía más de cuarenta años. Hoy, solo  él recorre en silencio sus edificaciones ruinosas, deambulando por las naves desiertas, por la destilería, el secadero y los  almacenes de pulpa y azúcar. En su recorrido, hace una parada en las dependencias para las turbinas y las calderas,  donde sufrió el fatal accidente, con quemaduras de extrema gravedad.  Pero debía olvidar aquello. Pertenecía al pasado.  Le gusta asomarse a las ventanas sin cristales de la torre alcoholera para contemplar las cumbres de Sierra Nevada y el  verdor de los huertos y los maizales de la Vega, salpicados de alquerías blancas, por cuyas acequias canta el agua y  donde el viento agita las hojas de los chopos de las riberas del Genil.  Sabe que quieren preservar el complejo como patrimonio industrial, con sus hangares, la maquinaria y cuanto aún  quedaba en pie.  Le parecía bien.  En cualquier caso, él seguiría allí pasados otros cien años, vagando, como hace ahora, por las naves abandonadas, los  silos, los talleres, el puente de carga o la torre alcoholera, dejándose ver solamente por la luna y por alguno de esos que  luego van contando por ahí esas historias extrañas que nadie se cree.   ",la azucarera
30,"                                   EL MAESTRO MOLINERO   Un rayo. Un rayo en mitad de la tormenta , el señor Zúñiga habla con la mirada fija en la fábrica de harinas.     Por favor, abuelo, cuéntamelo otra vez.     Pero si te he contado la historia cien veces Ya sabes que la fábrica se construyó durante la Gran Guerra. Aquí se  molturaban más de ciento cincuenta toneladas de harina diarias. Yo vivía en esta zona, junto al resto de trabajadores de la  fábrica. En cualquier momento del día o de la noche nos podían llamar para solucionar una avería.     Y así ocurrió aquella noche. La intensa lluvia se había colado entre la amalgama de máquinas Daverio. Bajamos todos en  tropel, yo el primero, claro. El maestro molinero siempre iba delante. La molturadora principal estaba atascada. Nadie  pudo intuir que un rayo en mitad de la tormenta prendería parte del tejado y el fuego se extendería sin tregua, a pesar de  la tromba de agua.     Cuando quisimos darnos cuenta, los silos, las casas y hasta la capilla estaban en llamas. Salimos de allí como pudimos y,  por suerte, no hubo muertos que lamentar. Aunque después supimos que no todo había sido una cuestión de fortuna.  Algunos vieron a dos personas luchando contra el fuego y despejando el camino de salida.    El chico mira a su abuelo perplejo, como si fuera la primera vez que escucha su historia.     Ya sabes que años después reconstruyeron la fábrica y la adornaron con esta imponente escalinata. Cuentan que  esculpieron estos dos leones en homenaje a aquellos dos héroes. Ves esta rueda dentada grabada en uno de ellos? Dicen  que uno de los hombres la llevaba tatuada, pero nunca se descubrió su identidad.    Abuelo y nieto caminan despacio por el jardín, cuajado de flores y colores. La nueva fábrica, símbolo de la ciudad, hoy  alberga las oficinas municipales. Una actividad muy distinta a la de entonces bulle a su alrededor.    Cuando giran la esquina, un viento traidor levanta el faldón de la camisa del abuelo, dejando a la vista del chico un tatuaje  en el que nunca antes había reparado.   ",el maestro molinero
31,"                                     La máquina del tiempo  Fina salió del cine Avenida con su amiga Mari, la sesión de la noche del viernes trajo estreno a Cangas. El tiempo en sus  manos, que peliculón , con Rod Taylor de protagonista:     Bien guapo es ese actor si, pero menudo sudores fríos me han dado esos morlocks o como se digan esos diablos. Te  imaginas Mari, un inframundo de caníbales, ufff   Dijo Fina.     Quita quita, Fina y vamos para casa a dormir y a ver si mañana hay trabajo, que buena falta hace, que llevamos días sin  ir a Massó  Dijo Mari.     Mañana a ver si, pero lo dicho, hoy no se yo. Voy a tener pesadillas, jajaja Dijo Fina.    Amenace y aun en cama, Fina escucha el sonido de la sirena, se levanta y como si poseída por el silbido, se viste rápido y  sale a la calle, comienza a caminar en dirección al pitido. Pronto su caminar se unirá a más mujeres, van saliendo de las  casas y confluyendo en el camino a Salgueirón, un río de mujeres bajan hacia la costa como hipnotizadas, entran bajo la  mirada de la torre del reloj. Fina entra y despierta de su sueño, no son morlocks quienes les esperan, sonríe recordando el  feliz viernes pero ahora toca trabajar el pescado en Massó.          The Time Machine (en España, El tiempo en sus manos; es una película basada en la novela de H.G. Wells La máquina del  tiempo (The Time Machine, 1895). Fue estrenada en España en los años sesenta.    El cine Avenida en Cangas del Morrazo cerró en los años 90.    La fábrica de conservas y factoría ballenera de Massó, llegó a ser considerada una de las más importantes de Europa y de  la que aún quedan su edificio en ruina en Cangas y el museo en Bueu. El edificio es uno de los emblemas de la ría de Vigo.  Una de las características laborales era, a la llegada de los grandes barcos, la sirena. Su intensidad marcaba el volumen  del trabajo a realizar y las mujeres de la comarca iban a la empresa al oírla, para incorporarse al trabajo, el orden de  llegada marcaba el ir ocupando los mejores puestos en la cadena de procesado del pescado.   ",la maquina del tiempo
32,"                                              DON COSME  DON COSME    1974, España    Don Cosme da vueltas por su finca. Quiere construir una vivienda más grande usando la antigua factoría que el padre  erigió, ya vacía e inútil.   Quién anda?   La pareja de la Guardia Civil, don Cosme.  Se sientan sobre una roca.   No puede demolerla. Van a venir unos especialistas, por si hay que declarar el inmueble ‹‹protegido››.   Son muy jóvenes y no entienden qué es la propiedad privada. Ya intentaron robar las tierras a mi abuelo. Unos  anarquistas.   Verá usted. España forma parte de la comunidad internacional. La ONU, desde 1972 En París se firmó   Y quiénes son esos extraños para meterse en mis asuntos?   Hasta que no se acabe la tramitación con el Ministerio no toque nada. Por favor.  Se sulfura el patrón mientras ambos se despiden. Hasta que aparece su nieta adolescente, droga y bálsamo, punto  debilísimo de aquel hombre.   Abuelo, dame la mano. Vamos a entrar en la ‹‹máquina del tiempo››.   No estoy de humor, pequeña.   Sí estás. Voy a enseñarte algo maravilloso.  La niña fantasea entre las enormes salas de motores relatando sus historias legendarias. Cada objeto que ha logrado  sobrevivir tiene su apelativo. Don Cosme admira su gracejo, su imaginación. Él se abandona a observar fantasmas con  ella, que descienden por los alcabores de chimeneas larguísimas. Las existencias de mil hombres, ya negligidos por el  tiempo, pero que han dejado su sangre en el oficio. La Humanidad despiadada, intentando embestir como un huracán.   Me gustaría que mis hijos conocieran la fábrica. Aunque vaya uno a saber si seguirá en pie.   Aquí la van a encontrar.  Medita otro emplazamiento para su casona. De pronto le asalta una duda.   Y tú qué quieres ser de mayor?   Escritora. Para que mi obra permanezca.  Salen por el portón blasonado y les aturde una luz. Cruza, tras el resol, una calandria.  **   ",don cosme
33,"                                              LO SAGRADO  LO SAGRADO    1976, España   Don Luis, el Obispo se halla al aparato.  El sacerdote da un respingo. Esto es por culpa de la mezquita. No comprende cómo se magnifica este asunto. Si España  está cuajada de ruinas similares!   Don Luis. Pero, hombre de Dios, qué me andan contando?   Excelencia: injurias y calumnias. Dicen que quiero tirar un templo. Si casi no queda nada. Se trata de los restos de una  mezquita, ya ve usted.   Juzgarán, y con razón, que somos preconciliares. La UNESCO ya no deja abandonados los restos arqueológicos. No ve  que es, por lo menos, una obra de arte a conservar?   Y ellos, señor Obispo? Es que no destruyen nuestras iglesias?   Y hacen bien? Usted ha visto los Museos Vaticanos. A rebosar de dioses mitológicos, y casi todos desnudos. Imagine  que por un prejuicio los hubiesen hecho pedazos. Qué pérdida terrible! Ahora le pido una cosa. Vaya a esa mezquita y  mírela con otros ojos. Después me llama.  Se acercó don Luis, más calmo, y entró en lo que restaba de edificación. Luces de colores pintaban el suelo, con algunos  mosaicos aún. Observó la profesión de fe, en estilizada caligrafía, de hombres que habían llorado allí, dado gracias a su  Dios, repetido los suras de su Libro Sagrado entre aquellas paredes. Para ellos tuvo una importancia enorme, infinita.   Aunque perteneciendo a una religión falsa  se regañaba a sí mismo el párroco.  Alzó la vista. Unos mocárabes simulaban una gruta, en la que su Profeta había sido depositario de la Revelación.   Recuerdo la mezquita de Córdoba. Muy hermosa, ciertamente.  El tamaño no era lo importante. La propia iglesia de Santa María, en su pueblo, era una miniatura románica. Mas de  belleza sobrenatural.   Algo reconozco. Toda oración impregna la atmósfera.  Regresó a su despacho.   Señor Obispo. Me parece que la mezquita y yo comenzamos a entendernos Cuándo dice que van a llegar los  especialistas para estudiarla?   Cuánto me alegra oírle, don Luis. Que ya corren otros tiempos! Muy otros!  **   ",lo sagrado
34,"                                                  El minero  EL MINERO    De pie a orillas del erial, el hombre somete su rostro a la ventisca.  Está quieto. Lleva en su mano una linterna apagada; no necesita luz para ver lo que ya ha visto. Solo quiere tiempo para  entender, para olvidar, para que el dolor se le curta como la piel, en la noche subterránea.  Más allá del campo, se recortan con suavidad las minas de carbón. El hombre sabe que en el vientre rocoso se pudren los  cuerpos de treinta mineros. Treinta amigos. El azar lo desplazó del eje de la muerte, pero no puede evitar la memoria.  Dormido o despierto, el eco de gritos apagados y golpes de pica y puño le torturan la sobrevivencia. Lleva en las entrañas  la imagen presentida de treinta asfixias.  Solo frente al vasto paisaje, su temple se hace añicos y cae de rodillas en la tierra reseca.   ",el minero
35,"                                           GOTAS DE VIDA  Gotas de vida  Puse en mi boca la última barrita de chocolate que encontré en la cartera. Es la última   me dije mientras la colocaba  bien pegada al paladar para comenzar a acariciarla muy sutilmente con mi lengua. Era la última porción. Dulce, suave,  cremoso chocolate argentino dentro de mi boca. Me hablaba de sensaciones, de placer, del delicioso sabor de lo bueno.  Fui degustándolo lentamente. Raspando con delicadeza, mis encías, carrillos y papilas gustativas, cada miligramo de  aquel postre.  Que no se acabe   me decía, al tiempo que arrollaba en un bollito el papel dorado, no sin antes leer: Gusto capuchino.  Es el primero que me regaló pero no el que más me gustóese fue el de limón.  Miré de nuevo y lo arrojé por una alcantarilla. Rodó y cayó en el vació hasta desaparecer de mi vista.   Ya está, se fue, este es su final   repetí tragando la última gota de vida por mi garganta casi seca.  Mis ojos miraban la nada y mis pensamientos divagaban hacia aquellas otras tantas veces en que tuve que despedirme de  algo o alguien. Ya no los fabrican, pensé, Y como todo lo nuestro, se terminó  Y ya comenzaba a caminar alejándome de mi casa, cuando de pronto lo recordé: Me queda otro trozo en el cajón del  comedor, entre los manteles finos. Es el de chocolate amargo con cascarita de naranja. Sí, ahora lo recuerdo, lo guardé  ahí porque fue el más sabroso de aquellos regalos.  Desanduve apresuradamente el camino, subí por el ascensor, abrí la puerta del departamento y, como loca, busqué la  tableta en el fondo del cajón. Ahí estaba: Chocolate Suchard con ralladura de cáscara de naranja. Tuve el impulso de  comer pero no, me senté en el sillón y me largué a reír a carcajadas. Qué bueno! Lo dejaría guardado, esperando a que él  se me tornara indispensable y mi boca, lo deseara de nuevo.   ",gotas de vida
36,"            PATRIMONIO INDUSTRIAL y URBANISMO01  PATRIMONIO INDUSTRIAL y URBANISMO  1). EL INICIO  1848  Quizás la más importante Obra Industrial del Siglo XIX en España, fue el Ferrocarril Mataró  Barcelona, amparo a la  incipiente Revolución Industrial de Cataluña. Adoramos ese tren nacido en 1848, justo 100 años antes de que yo lo  hiciera. Pienso en ello, cuando veo el mar a través de las vías de su trazado y la maraña de cables de sus tendidos  eléctricos.  Desde siempre, las comunicaciones desde Barcelona con el Maresme, han sido algo prioritario para todas las  Administraciones, puesto que ha sido el soporte al tejido industrial, tanto en mano de obra como para el desarrollo  residencial; sumado al transporte de materias primas hacia las fábricas.  La historia y homenaje en el centenario de esta magna obra, se recoge en el Blog de Juanjo Olaizola Historias del Tren.  Su promotor, Miquel Biada, tuvo la claridad de ideas necesaria para que llegara a ser una realidad.  En el Siglo XX, dio en 1970, un nuevo impulso a las comunicaciones con el Maresme con la construcción de la C31,  Autopista Barcelona  Mataró, vía fundamental hoy día, a nivel nacional, por la comunicación hasta la frontera francesa.  En agosto de 2021, se eliminaron los peajes, permitiendo así descongestionar la NII, convertida en una vía comarcal,  en un sector densamente poblado de la Provincia de Barcelona.  Como urbanista, nunca olvido que el barrio de La Bonanova en Barcelona, nació como consecuencia de la ocupación de  las residencias de verano por las nuevas generaciones de barceloneses. El Tren de Sarriá, equivalente al Ferrocarril de  Mataró, permitió transformar aquellos espacios residenciales de verano, en zonas de residencia permanente, ampliando  así la oferta de vivienda accesible a unas generaciones sin poder adquisitivo suficiente para instalarse en El Ensanche  Así nació una nueva Barcelona, como nacerá un nuevo Maresme d   ",patrimonio industrial y urbanismo 01
37,"                PATRIMONIO INDUSTRIAL y URBANISMO  PATRIMONIO INDUSTRIAL y URBANISMO  Si bien la construcción del Tren de Mataró, significa un Patrimonio Industrial de alto nivel histórico, como pionero en  Europa, sería un sueño hecho realidad que, cien años después, en 2048, todas las poblaciones costeras del Maresme,  pudieran acceder a sus playas, sin tener que utilizar pasos subterráneos para salvar las enormes barreras que ahora  existen. Es eso posible? Creemos que cómo en 1948, sólo se precisa una iniciativa sólida y profesional que aborde el  problema.  Eliminando el Tren de Mataró, para substituirlo por un Monorraíl de última tecnología, se liberarían los espacios  ocupados por la red ferroviaria actual que, sumados a los ocupados por la NII, podrían crear un Paseo Marítimo de una  longitud de unos: 40Km50Km; lo que duplicaría en longitud al de Lanzarote con sus 26Km, peatonales y transitables en  bicicleta.  Como primera idea básica, es perfectamente factible realizar la nueva red ferroviaria del Monorraíl por los espacios  intermedios de las actuales Autopistas C31 y C32, hasta Tosa de Mar, para empalmarla desde allí hasta Perpiñán, por  la AP7, de considerarse interesante llegar hasta ese punto. La anulación de los peajes en agosto de 2021, ha dejado libres  suficientes espacios para crear puntos subterráneos de desembarco bajo los viales, junto a parkings en los terrenos  adyacentes.  Las estaciones de tren actuales, podrían transformarse en museos para destacar la importancia del Patrimonio  Industrial creado, complementado por restaurantes, chiringuitos o centros comerciales que, por las cuotas de  explotación, revertirían a los municipios importantes ingresos hoy inexistentes.  La belleza y popularidad de esa nueva Barcelona, yo no se basaría sólo en una obra maestra como la Sagrada Familia,  sino en una revolución urbanística de un impacto estético inigualable, complemento perfecto de su transformación de  1992, ganando el mar.  Ganemos ahora el mar para todo el Maresme!!   ",patrimonio industrial y urbanismo 02
38,"                                  EL CERRO DE LA PLATA  Dicen que son obra de sabios, allá en la vieja Grecia. Pero estas máquinas, más que otra cosa, son nuestro futuro. Desde  que las instalamos en la humilde explotación del Cerro Sancti Spiritu, Cartago Nova ha despertado como un diente de león  florece en primavera. Con los sabios ha llegado la téchnē, la tecnología, que ha revolucionado nuestra arcaica manera de  trabajar las rocas. Las viejas lucernas de aceite han dejado paso a los espéculos de bronce; bruñidos como la nieve,  reflejan la luz del sol hasta inundar con ella las más oscuras galerías. Las pequeñas simas alcanzan ahora un stadium bajo  las entrañas de la sierra minera, transportando en pozos paralelos hombres y minerales que penden seguros de sus  gruesas maromas de cuero, tensadas por tornos de increíbles engranajes dentados. Los ingenios mecánicos evolucionaron  en unos años lo que siglos de historia no habían conseguido. Por su cercanía al mar, los acuíferos limitaban desde siempre  las labores de extracción. El Tornillo de Arquímedes, una cóclea con forma de espiral embutida en un largo cilindro, hizo  bombear miles de sextarios de agua que inundaban los túneles, reutilizándolos en los lavaderos de mineral. El aire  comprimido por los émbolos de las bombas de Ctesibio, movidos por la fuerza de una docena de hombres, permitió  dominar el fuego bajo tierra; frente a su enorme calor, las rocas se fracturaban como el barro seco bajo las albarcas de  esparto. A su llegada se batieron en retirada las primitivas herramientas, dejando paso al impulso de la hidráulica y la  eólica. Tanta fue su magia, que cientos de curiosos abarrotaban cada día la Vía Apia con dirección a la mina.  Hoy, tras décadas colmadas de experiencia y aún asombrado por el poder de la ingeniería, vago sin prisas por las cumbres  de la sierra minera. Ladera abajo paseo mi cansada vista por la bocana del puerto de Cartago. A lo lejos, una vela  cuadrangular, henchida por los vientos septentrionales, deja una estela plateada sobre el Mare Nostrum.   ",el cerro de la plata
39,"                                    La sonrisa del cortador  El hombre sonríe y entrecierra los ojos, que se ocultan entre pliegues arrugados de piel. La tez es morena, oscurecida por  el sol bajo el que el hombre ha trabajado cada día, desde que tenía doce años. Hoy tiene motivos más que de sobra para  sonreír y sentirse orgulloso. Alarga la mano, en la que faltan dos dedos, y coge el vaso estriado. Saborea el ron, el mismo  que ha sido elaborado a partir de la caña de azúcar que él y otros como él han recolectado en la zafra.  Mira a su hijo, ya un hombre, que dormita en el sofá con gesto satisfecho.  Viendo al hijo, recuerda al niño que fue él mismo, jugando al fútbol, en la calle, con un balón remendado, riendo y  gritando, persiguiendo las pequeñas brozas de caña quemadas que caían del cielo en época de zafra, como si fueran  copos de nieve negra.  Luego el niño creció y los juegos se acabaron y llegó el duro trabajo, el cortar, recoger y transportar la caña para  alimentar al Ingenio que como un dragón voraz, aplastaba y exprimía la planta para transformarla en guarapo dulce.  Ahora, de esa palabra  Ingenio  nace el vocablo, como si el dragón lo hubiera parido, que da nombre al título de su hijo:  INGENIERO.  El hombre se levanta de la silla notando el crujido de sus rodillas y el dolor permanente que acompaña a sus huesos. Son  huesos fuertes que han sido llevados al límite, al igual que los músculos que los recubren y el corazón que bombea la  sangre que los alimenta. Se acerca cojeando levemente hasta el título enmarcado, que tras el cristal señala que su hijo es  ingeniero industrial.  El hombre se ve reflejado en el cristal y sus ojos brillan orgullosos.  A lo largo de la vida no ha llorado muchas veces, y de alegría menos, pero a estas alturas de la vida, cuando está  comprando boletos para partir al otro mundo, no está dispuesto a contenerse.  Las lágrimas recorren los surcos profundos que marcan su piel tostada, como si fueran guarapo, aunque las lágrimas son  saladas, no dulces.  Ahora será su hijo el que fabrique los ingenios, o e   ",la sonrisa del cortador
40,"                      El guardián de las cosas del mundo  El guardián de las cosas del mundo      Nadie como él supo transformar aquel sabor metálico en la zona de sombras, aquel sonido de madera podrida, con cierto  misterio elaborado a lo largo del tiempo, en sorpresa. La luz de la cancela apenas podía disimular el peso de aquella  sombra, tan espesa, como goma fundida, cubriendo aquel bloque de metal tras cuyo silencio aparecía nuestra confusión.  Darío, con la intensa vocación del que protege las cosas del mundo con el rostro atravesado por el aspecto que la edad  horadaba sobre la madera de su frente, señaló el rincón, apartando la gruesa lona fundida con el paso del tiempo.  Darío, con el vidrio de sus ojos encharcados, con su mano de ramas de boj inquieta, con su voz atravesada de olvido,  señalaba la máquina tras la cortina del tiempo.  La rueda pulida, los engranajes observando expectantes como juguetes dormidos que esperan su regreso a la vida;  tuercas ennegrecidas, ejes, un ventilador, poleas  Señaló un motor anclado sobre una estructura de cemento, como un Atlas levantando una y otra vez el mundo, y dejó  para el final su gran truco de ilusionista aficionado.  Fue el último embate de ese hombre gastado el que provocó nuestro delirio, cuando consiguió introducirse como un  líquido lubricante en nuestra conciencia. Darío deslizó su mano sobre el lomo de la princesa, y nos miró esperando  aprobación, deseando compartir su obra, su descubrimiento: una carcasa de metal azul con las letras hiriendo su vientre.  La cabina, desnuda de su lona atravesada por cuerdas, como cordones en el vestido, que ahora muestra impúdica su  magnitud, apareciendo con la inmensidad de la ballena de Ajab, como el terror de Job en su vientre. Darío acarició  aquellas muescas en la culata, las barbas del leviatán, el útero del aeroplano y repitió las letras despacio, mirando al suelo  en su rito sagrado, con el temblor en su voz de anciano. KLM, leyó Darío sobre la traducción del ingeniero. Koninklijke  Luchtvaart Maatschappij... 1919.   ",el guardian de las cosas del mundo
41,"                            Las minas que fueron del Inca  La extracción de la plata no requiere esclavos, sino especialistas. Al principio el único especialista es el indio que trabaja  en la guayra, el guayrador, indios yanaconas que hacían ya estas tareas para el Inca. Tienen luego que especializarse en  los hornos españoles avivados con viento. Al final, con la llegada de la amalgamación, es el propio Virrey Toledo el que  crea escuelas de formación de indios en esta nueva técnica.  Pero no sólo guayradores, especialistas en amalgamación, también barreteros que arrancan el mineral de la mina con sus  piquetas, apires que acarrean el mineral, pallires que lo seleccionan, separan, clasifican, siquepiches especialistas en la  limpieza, pirquires que saben construir muros y los pongos que ejercen tareas de supervisión.  Pero hay otros lugares, que no sólo la mina, lugares como las purificadoras de amalgama y sus indios morteros que  suministran el mineral entre el martinete y el mortero, los beneficiadores que mezclan el mineral con el mercurio y con  otros reactivos, los repasires que pisan, repasan y profundizan la torta de amalgama. Los lavadores, o tinadores, que  supervisan el separado del material de desecho en las tinas, los servires que pasan el material por los molinos y los  carboneros y los quemadores.  Las mujeres se han especializado en realizar las tareas de los pallires, en la selección de minerales que serán fundidos en  las guayras. Lo hacen más rápido y mejor que los hombres. Pero el trabajo más duro, sin duda alguna, corresponde a los  apires mitayos que transportan el mineral arrancado por los barreteros desde la boca del túnel hasta las plataformas, o  canchas, donde será seleccionado.  Las muertes no son diarias, pero sí lo son los accidentes, las enfermedades respiratorias, el envenenamiento con plomo, o  con el mercurio. Allí no hay más seguridad que alguna multa cuando los malos tratos, los abusos, la sobrecarga de trabajo  de los mitayos, terminan provocando un accidente, a lo máximo algunos destierros temporales.   ",las minas que fueron del inca
42,"                                       El caserón de Antón  I EL CASERÓN DE ANTÓN    El joven ingeniero admiraba desde la acera la imponente fachada de ladrillo.    Antón entró a trabajar muy joven en aquella fábrica de vidrio y consiguió llegar a ser un buen tallador.  Solo entonces se decidió. Con las botas brillantes, una camisa limpia y el chaleco nuevo, se dirigió a la casa de Rosa. Allí  de pié, en medio de la cocina, con la gorra entre las manos y tras un carraspeó inicial, habló ya de corrido y expuso al  padre su intención de casarse con su hija ahora que ya era fijo en el Taller alto de Cristaleras Asturianas, ganaba un  sueldo suficiente y le había sido otorgada la casa número dieciséis de la corrada, así que a su hija no le iba a faltar de  nada,  El padre de Rosa miró asombrado a aquél muchacho tan joven y tan decidido, le invitó a sentarse, compartieron unos  culines y terminó dando su consentimiento.  La boda fue muy alegre. Se abrieron dos cubas de sidra y hubo baile en el parque del Cerilleru con un rapaz de Avilés que  tocaba el acordeón.  Empezaron a vivir en la corrada. Rosa encaló las paredes, dio cera al suelo y colocó macetas con geranios en las  ventanas.  Tuvieron dos hijos y los días transcurrían plácidamente hasta que la guerra paralizó su vida y la de todos, movilizando a  los jóvenes a las armas.  Antón cayó herido en la batalla del Mazucu y fue atendido en el hospital de guerra instalado en su amado caserón de  Cristaleras Asturianas.  De aquella metralla en el muslo, le quedó una leve cojera, que nunca le impidió trabajar ni bailar en la feria de Begoña.  Terminada la contienda, Antón pasó a formar parte de la plantilla de la reconvertida fábrica de vidrio CRISTASA, hasta su  jubilación.    El joven ingeniero dirigía una de las compañías instaladas en el edificio de la antigua fábrica, restaurado como vivero de  empresas y no pudo evitar emocionarse con la visión de la gran fachada de ladrillo, que tanto le recordaba a su abuelo   ",el caseron de anton
43,"                                           Sopas Soponcio  Ana Pil adora las sopas. Le vuelven loca. Su sueño, desde niña, ha sido montar una exquisita sopería, donde servir los  mejores caldos del mundo. De pollo, de verduras, de cocido...será el paraíso. Allí será feliz.    Los carteles industriales de coloridos azulejos, ésos también hacen feliz a Ana Pil. Esas icónicas obras de marcas  comerciales, decorando las fachadas de las tiendas que aun sobreviven a la globalización. Son irresistibles para ella. Su  favorito es el de la joven con mirada pícara y mantón de manila, que sostiene una copita de Anís del Mono. Dice que es el  mejor de todos los que ha visto jamás.    Aunque últimamente Ana Pil no parece tan feliz. No tanto como antes. No, desde el soponcio. Cada sorbo de sopa ya no le  sabe a sopa sino a hospital, ni los carteles de las enfermeras en la planta de oncología pidiendo silencio tienen el  maravilloso encanto de los carteles industriales, que tanto le gustan.    Pero Ana Pil confía en que saldrá de allí. Y en cuanto lo haga, montará una sopería llamada ‘Sopas soponcio’ para  recuperar el sabor de tiempos más felices.   ",sopas soponcio
