review_title,date,type,review_body,name,category,ecology,dimension,region,tag
Efecto espejo del agua,2020-07-01,Individual,"Cuando fui no pude subir pr que estaba cerrado, eso sí, la zona donde se encuentra este embarcadero es muy bonito. Os recomiendo pasar por el puente colgante; el agua hace un efecto espejo increible.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag20
Maravilloso,2020-07-01,Familia,"Bonito viaje por el canal!! Disfrutamos de un recorrido por la naturaleza Y belleza del entorno. Decir que el viaje nos gusto muchísimo, pero las explicaciones y Lo aprendido en el día de hoy con los guías Ha sido lo mejor, dos chicos maravillosos que nos trataron súper bien y sobre todo que hicieron que los niños disfrutaran de la experiencia. Gracias!!",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag21
De pena,2019-07-01,Parejas,"Es una pena que una obra como el Canal de Castilla no se explote turísticamente como se merece. Si pides información sobre los recorridos en barco no hay horarios y cuando llamas resulta que cancelan el viaje por cualquier motivo, por lo que al final es mejor no ir.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag22
No son capaces de avisar cuando cancelan el viaje.,2019-03-01,Familia,"No dudo que la travesía sea estupenda, pero la persona de recepción demuestra muy poca seriedad y profesionalidad. Nosotros reservamos por la mañana para hacer la travesía por la tarde, nos pidió nombre y teléfono. Cuando nos presentamos por la tarde nos comenta que como hace mucho aire se ha cancelado la travesía, lo cual comprendo, pero no entiendo que no se pusiera en contacto con nosotros para comunicarnos esa posibilidad ya que por la mañana también tuvieron los mismos problemas. Nos quedamos con las ganas, pero después del trato recibido por esta persona, creo que no volvemos.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag23
Conocer el Canal de Castilla en Barco,2018-11-01,Familia,"Viaje en barco ""Marqués de la Ensenada"" por un recorrido por los inicios del Canal de Castilla en Herrera de Pisuerga (Palencia), Muy recomendable y que merece la pena realizarlo. Dura poco más de una hora, y se realiza el paso por una de las dos esclusas que resisten operativas en la actualidad en todo el canal, espectacular para conocer esta impresionante obra civil de hace más de 3 siglos. El personal correcto, la guía más simpática, que el capitán. A mejorar el barco y la información del guía, ya que apenas habla 10 minutos al inicio del recorrido, el resto nada, ponen un DVD y se acabó. Demasiado sencillo todo, incluida la zona de embarcar, se debería mejorar e innovar si se quiere potenciar estás maravillas que tiene Palencia.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag24
Vacaciones 0toño 2018,2018-10-01,Parejas,un viaje estupendo a través del canal de castilla para conocer de 1ª mano como funcionan la exclusas,BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag25
Muy curioso,2018-10-01,Parejas,"Es un paseo muy agradable por el canal, como era otoño la vegetación era una maravilla. Es muy curioso como se cierran las compuertas para que se llene y remontar una esclusa, a la vuelta es al contrario, desde dentro del barco vas viendo y sintiendo como se va vaciando esa zona para bajar de nivel y terminar el recorrido",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag26
Oportunidad de conocer el Canal desde dentro,2023-10-01,Familia,Una oportunidad para poder vivir lo que fue el Canal de Castilla y el funcionamiento de una de las esclusas. Personal muy atento y competente. El único problema es los accesos al Centro de Interpretación del Canal y mantenimiento del entorno. Arreglado algo pero es necesario un compromiso de la Diputación por apostar de verdad en hacer del Canal algo realmente atractivo.,BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag27
Viaje corto pero agradable,2023-10-01,Parejas,"Bueno, pues puedo decir que es una experiencia, aunque corta, ya que el viaje dura una hora aproximadamente, pero es súper entretenida y perfectamente explicada por la guía del barco, como por el capitán del mismo, súper agradable y atento. Merece la pena, experimentar la subida y bajada en una exclusa y el pequeño paseo en barco, muy ameno. Gracias a la guía por su explicación y al capitán del barco por ser tan Atento. Da gusto visitar sitios y hacer cosas con gente agradable. Lo recomiendo,muy el precio barato, 5€ por persona.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag28
Paseo para poner en valor el Canal de Castilla,2018-08-01,Parejas,"La diputación provincial subvenciona estos paseos que gestiona una empresa privada. La tripulación está compuesta por 2 personas y la capacidad del barco es de unos 30 pasajeros. Funciona con unas baterías que se cargan los lunes que no tienen servicio. Se da un corto y lento paseo desde el muelle que hay a unos 2 km de Herrera de Pisuerga, junto a un área recreativa. Un vez que se llega a la exclusa, se hace una parada de 13 minutos para llenarla y conseguir que la embarcación adquiera el mismo nivel que el siguiente canal. Damos otro corto paseo canal arriba, se da la vuelta y, proceso inverso, sólo que el vaciado de la exclusa dura 11 minutos. Mientras tanto, en la embarcación, las pantallas emiten ininterrumpidamente un vídeo de promoción turística de toda la provincia. Precio del paseo 5 €/ pax",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag29
Entretenido paseo,2018-08-01,Familia,"Casi una hora en un corto recorrido por el que se pasa por una esclusa que primero se llena para navegar por la parte superior y luego al contrario. Muy curioso, también hay una pequeña exposición y en el exterior bancos tipo merendero y guardabicis ya que junto al canal hay un paseo kilométrico.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag30
Un paseo muy agradable descubriendo un paisaje frondoso en medio de Castilla y lo mejor las esclusas,2018-05-01,Amigos,Primero estuvimos viendo la exposición del Centro de Interpretación del Canal de Castilla con maquetas y paneles explicativos muy pedagógica e interesante. Después hicimos el minicrucero. El piloto y su segunda de abordo nos contaron la historia del Canal y el funcionamiento de las esclusas. Fue emocionante y divertido ver como se llenaba la esclusa haciendo subir al barco. El pasisaje del recorrido es muy hermoso y bucólico. Merece la pena como complemento de la visita a Frómista.,BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag31
Interesante,2018-04-01,Parejas,"Bonito paseo en barca por un paraje agradable que, además, enseña de manera práctica el manejo de las esclusas de las que hay bastantes en el Canal de Castilla.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag32
Una excursión fuera de lo habitual,2018-04-01,Parejas,"Probablemente no es muy corriente dar un paseo fluvial por un canal y subir y bajar una exclusa. Yo recuerdo haber hecho algo parecido en Estrasburgo. Y la verdad es que, aparte de ser un paseo agradable en plena naturaleza (ya de por sí algo extraña en tierra de Campos), no deja de ser curioso el tema de las esclusas, y la historia del canal. Es recomendable el paseo.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag33
Canal de Castilla,2017-10-01,Parejas,"Nos ha gustado mucho esta experiencia, un recorrido en barco eléctrico por un trayecto del Canal de Castilla, incluyendo el paso por una esclusa con su proceso de llenado y vaciado de agua. Todo ello muy bien explicado por los guias que nos acompañan. Vives una experiencia cercana a lo que debia ser el recorrido por este canal (salvando la epoca y medios tecnologicos actuales). El atraque está enclavado en un cuidado parque con arboleda, bancos, para picnic y un puente colgante que lleva a la otra orilla. Es conveniente reservar telefonicamente y enterarnos si se produce la visita y los horarios. Para mi es una visita recomendable. ojo si vas en coche, pues es facil pasarte ya que la señalizacion no es facil de distinguir.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag34
Bonito paseo en un entorno precioso,2017-10-01,Familia,"El paseo en el barco es muy entretenido, dura 50 minutos. El paisaje que se divisa merece la pena y vivir la experiencia de la esclusa lo hace especial. Desde donde parte el barco hay merendero con zonas verdes para pasar un rato agradable jugando con los niños",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag35
La exclusa mejora mucho la visita.,2023-10-01,Familia,"Es la tercera vez que voy al canal en barco, siempre lo hago con fines turísticos ya que soy palentino y tengo una 2º vivienda en una localidad cercana, y aprovecho cuando tengo amigos para hacer turismo rural. La primera vez fui en una barquita que apenas cogíamos 12 personas, luego en esta barca pero sin pasar la exclusa y esta última vez con el paso de la exclusa. Muy recomendable la visita sobre todo si se completa con un paseo por el canal, ya que el parque anexo  y la zona del canal de Herrera a Alar es la más bonita, ya que la conozco por ir en bicicleta todos los veranos. Lo único que me pareció algo caro, y como consejo debería habilitar algún mecanismo para que aquellos que fomentamos el turismo por la provincia trayendo a amigos de diferentes partes no tengamos que volver a pagar por lo que ya conocemos, es una sugerencia para nuestros dirigentes, he vivido 18 años en Toledo y allí en ciertos monumentos ya lo realizaban, los residentes entramos gratis, entiendo que es complicado ya que soy palentino de nacimiento pero no de residencia.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag36
Pasaje al pasado histórico,2017-06-01,Familia,"Nos ha parecido fantástico, la experiencia ha sido genial: un recorrido en barco eléctrico por un trayecto del Canal de Castilla, incluyendo el paso por una esclusa con su proceso de llenado  y vaciado de agua. El atraque está enclavado en un precioso parque con arboleda para picnic y un puente colgante que lleva a la otra orilla. Puedes ver libélulas,mariposas, etc. El personal que atiende el Centro es sumamente profesional, atento con los niños y te hace la visita muy agradable. Visita muy recomendable.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag37
Una ruta distinta,2022-01-01,Individual,"Es algo diferente. Asturias tiene un millar de rutas diferentes. Esta, en pleno verdor, tiene un encanto añadido, el de la magia con sabor asturiano.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag48
Hay que mejorar el final,2023-10-01,Familia,"Dificultad media ya que al inicio hay que salvar bastante desnivel,  para las sillas de bebés  complicado sin duda, luego todo mejora,  algunos seres mitológicos ya están rotos, y el final por carretera de unos 2 kms resulta peligroso  y aburrido respecto de todo lo previo.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag49
No recomiendo para ir con carro de bebé,2021-07-01,Familia,"Habíamos visto anunciado este sitio en un panfleto de turismo y de cosas que hacer en el hotel. Preguntamos tanto a la gente del hotel como a la señora del parking de la ruta que si el camino estaba bien para ir con dos peques de 4 y 1’5 años con carro. Nos dijeron que si, que era muy fácil y que solo había una “pequeña cuesta pero fácil de subir”. Bueno pues cuando llevábamos 1’5km subiendo la “pequeña cuesta pero fácil” llena de pedruscos grandes y con los niños en brazos, empezamos a ver familias con peques que volvían de darse la vuelta porque esa cuesta seguía mucho más. Nos dijeron que ni de coña siguiésemos porque para ir con carro eso estaba fatal. Si se va preparado con mochila porta bebés, sin carro, etc. pues vale. Pero nos engañaron diciendo que era fácil para ir con carro y no es así. NO LO RECOMIENDO A QUIENES LLEVEN CARRO. Hay una ruta que está mejor para estos casos, se llama la ruta de el chorrón, ahí si se puede andar con carro.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag50
Senda preciosa para hacer en familia,2021-08-01,Familia,"Camino precioso para hacer con la familia. A tener en cuenta que son unas 3-4h en función de las paradas que se hagan. La primera parte con pendiente pronunciada pero después el camino se hace de forma agradable encontrando los diferentes personajes de la mitología asturiana que entretienen a l@s niñ@s durante el trayecto. A medio camino hay un restaurante para comer y un poco más adelante (5min) un merendero con 2 mesas. Precioso el paisaje! La vuelta por eso es a través de carretera durante 2 km, se agradecería un carril peatonal por seguridad.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag51
Una ruta mágica,2021-06-01,Individual,"Es una ruta preciosa de unos 10km, se puede hacer con niños que no sean muy pequeños porque tiene algunos tramos de desnivel y zonas de terreno irregular, aún así dificultad baja. La última parte se hace por carretera hasta volver al inicio, unos 2km. Durante todo el camino te vas encontrando con distintas figuras de criaturas mágicas con letreros de mensajes muy divertidos. Muy recomendable.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag52
No es apta para niños,2021-07-01,Familia,"No es una ruta adecuada para niños. Empieza con una gran cuesta arriba. Después la mayoría de la ruta transcurre por carreteras. Los últimos dos kilómetros Per una carretera muy transitada. Tienes que ir por el arcén. Sólo hay pequeños tramos de bosque, lo demás te hacen pasar por pueblos medio abandonados, eso sí, pasa por delante de todos los bares... Tampoco hay muchas esculturas de la mitología y alguna bastante degradada, de hecho los carteles explicativos casi no se leen. Tanto adultos como nuestra peque de 6 años muy cansados y con la sensación que no era lo que nos ""habían vendido""",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag53
La ruta no tiene tanto encantu,2021-07-01,Familia,"La ruta no es tan buena como parece, al principio tiene algunos tramos de cuesta que no se puede pasar con carritos. Algunos tramos no estan bien señalizados y no sabes muy bien por donde tienes que ir y el tramos final, unos 3 km., es por carretera y bastante transitada. Nos han comentado que estan intentando hacer tramos nuevos para no ir por carretera, pero no se ponen de acuerdo. Esperamos que lo hagan pronto.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag54
Idea por desarrollar,2021-06-01,Amigos,"No lo recomiendo porque la última parte del trazado, más de 2km, trascurre por una carretera sin arcén y doble sentido de circulación bastante peligrosa para adultos, con niños puede ser una temeridad. La ruta es un camino de aprox 9 km donde podrás ver doce esculturas de la mitología astur. Las esculturas empiezan a estar deterioradas, sobre todo los carteles. Creo q es una buena idea por desarrollar, se debería mejorar el trazado evitando las carreteras, ampliar los seres mitológicos para que realmente tenga sentido hacerla con niños o adolescentes.... En fin, en el estado actual no merece la pena hacerla.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag55
Pequeña decepción,2021-03-01,Familia,"Ruta para ir con niños, si, pero a partir de 7 años, y para ir con silla de niños, como leí alguna opinión, desde luego que no!...ruta para personas muy mayores, tampoco. Ojo! Buena parte de la ruta por carretera con el peligro que conlleva. Estatuas en mal estado de conservación. Ruta masificada, si buscas tranquilidad hay otras opciones mejores.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag56
Fácil de realizar y con encanto,2021-03-01,Familia,"Buena ruta para hacer con niños, aunque tiene una pendiente bastante pronunciada al inicio, es bastante llevadera. Nosotros llevamos un carricoche... si vas con amigos no te supondrá nada más allá que un poco de esfuerzo para pasar sobre los empedrados; eso si, con calma y bastantes descansos obviamente por los peques (entre 5 y 8 años) quienes ni cansados terminaron. Si los días previos ha llovido mejor llévate algo impermeable para los pies, pues habrá barro en las zonas más sombrías. Podrás disfrutar de unas vistas preciosas y una tranquilidad absoluta, y además conocer un poco sobre la mitología asturiana. Encontrarás varios chigres para tomar algo a lo largo de la ruta y una zona con merendero. Muy recomendable para pasar un día tranquilo y desconectar.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag57
Naturaleza y mitología,2020-08-01,Amigos,"Ruta que permite pasear por todo el valle y los pueblos de la zona de Ardisana. Como muchos dicen, el primer kilómetro es todo cuesta arriba (con ir concienciados basta), pero luego es todo super llevadero. En mi opinión quizás sea una ruta demasiado larga para ir con niños (11km volviendo al punto de partida), aunque las estatuas y carteles están dirigidos para ellos y eso les puede animar. Los tramos más guapos son los que te metes en pleno bosque; desluciendo la ruta los últimos dos kilómetros que son por carretera desde Ricaliente a Puente Nuevo (digamos que es como la justificación para que sea ruta circular, pero en realidad es unir con el punto de salida por la mera carretera). Sobra decir que hay que ir con calzado adecuado para andar, vimos gente con chanclas y vestidos y no lo entendimos.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag58
"Mitad sendero, mitad carretera",2020-08-01,Parejas,"La ruta está bien y es entretenida, pero aproximadamente la mitad transcurre por carretera. A la vuelta llegas a otro pueblo, no desde el que empiezas, y tienes que recorrer casi 3km por una carretera que no es muy recomendable para ir con niños.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag59
Un encanto,2020-08-01,Individual,"Ruta de unos 9km aprox. La hicimos varias veces y cada vez nos gusta más. Eso sí la hacemos con el sentido común que requiere, ya que hay mucha gente que la hace en chanclas de playa , con carritos de bebé, etc.. el paisaje de bosque autóctono Asturiano es una maravilla. Ojito que si llueve nos encontraremos zonas embarradas (obviamente). Transcurre por los pueblos y bosques del valle de Ardisana, en la ruta os podéis encontrar con bares y restaurantes para hacer un alto si lo deseáis. El aparcamiento es gratuito (cedido por el bar la venta los probes) es cierto que para evitar el desbordamiento de coches mal aparcados, en temporada alta habilitan un parking con donativo beneficio. En definitiva el que sabe apreciar la naturaleza y el senderismo repite seguro.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag60
Ruta poco natural,2020-08-01,Familia,"Hay miles de lugares en Asturias para pasear mejores.....tanto x la orografía del camino ,x la masificación,x el trazado d carretera.....para mí decepcionante....hasta el punto q hasta había parking d pago.....háganse a la idea del nivel urbanita y comercial",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag61
Entretenida,2020-08-01,Amigos,"La ruta está entretenida y es guapa! Los 8km se convierten en 13km, ya que cuando acabas la ruta te kedan 3km para llegar al coche, caminando por carretera que está bastante transitada por coches. Y lo que lo sé puede tolerar esque haya gente (hablo de muchos) que hacen la ruta y No llevan mascarilla. Señores/señoras es obligatorio el uso de mascarilla. Ya no se en que idioma lo hay que decir. Inacbisible su comportamiento, nefasto!",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag62
Regular,2020-08-01,Familia,"Lo describen como una ruta para hacer con niños...Error...es muuy laaargo y aburrido... Empieza con una cuesta arriba bastante larga y ahí los niños ya empiezan a protestar. Solo hay dos fuentes en todo el camino. Y las figuras... pues bueno...una a cada km y algunas estropeadas. La zona de recreo que dicen,nada,un bar al lado del río o un banco en una placita. Y si haces el camino completo son 10 km,los dos últimos compartiendo carretera con coches... La ruta vale,pero no con niños.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag63
AGRADABLE PARA NIÑOS,2020-07-01,Individual,"Recorrido muy cómodo y tranquilo para ir disfrutando con niños mientras buscan las Xanas y los Trasgos El camino es sencillo, tan sólo un tramo que se va por la carretera es el más “ incómodo “ , pero sin duda se disfrutara",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag64
Bonita excursión,2020-07-01,Familia,"Excursión muy bonita para conocer pequeños pueblos del interior mientras los niños buscan figuras mitológicas a lo largo del caminos. Nosotros hicimos el recorrido en unas 3h, parando en Ricaliente a esperar a que el otro adulto fuera a buscar el coche al parquing, us que el último tramo es todo de carretera.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag65
Todo genial y sorprendente,2020-07-01,Individual,"todo genial, ruta sencilla y bien señalizada, apta para niños sin problema ninguno y con el aliciente de ir viendo tallas de seres mitológicos...muy recomendable para familias...excelentes vistas...merece la pena y mucho...",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag66
NI ENCANTADO EL CAMINO NI LOS CAMINANTES...,2020-07-01,Familia,"Prometen 8km de ruta accesible para niños que se convierten en 18km que transcurre prácticamente por pueblos y  durante los cuales no encuentras un mísero banco donde descansar..lo que llaman merendero resulta que son 2 mesas y 1 banco al sol, las figuras están muy distantes entre sí.. deterioradas..los carteles ilegibles ..cuando llegas a lo que se supone el final de la ruta cansado de de tirar de la mochila cargada con la merienda ( por que la única mesa del merendero a la sombra estaba ocupada y al sol con niños no era plan..) te encuentras con que aún hay que recorrer 3 km más por  una carretera muy transitada donde te venden ( en el 90% de las páginas que la publicitan) que hay una zona de recreo para esperar con niños a que te vayan a buscar en coche..lo que en realidad hay es un bar pequeño con 4 mesas afuera pegadas  a un río... Es una ruta muy larga, 4 horas sin parar a comer..cuando lo que ofrecen son 8 km.. que transcurre básicamente por asfalto no por un bosque ""encantado"" ..se hace interminable..los niños ( 5 años)se aburrían de talla a talla ..te venden un bosque encantado cuando en realidad es una caminata a lo tonto..crean falsas expectativas..la publicidad no se corresponde en NADA con la realidad. Ni volveremos Ni lo aconsejarnos a nadie..",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag67
RUTA EN FAMILIA,2020-07-01,Individual,"Es una ruta en la que se pueden llevar a los niños, pero siendo sinceros esta mal conservada y poco respetada hay tallas que han sido cortadas por el hombre. no se respeta nada. unas vistas maravillosas, y te encuentras varios bares y un restaurante por el camino.  Fuencaliente es un pueblo en el que se entra cruzando el puente sobre el rio, y tiene en su entrada varios horreos.  la ruta desde la Venta, hasta la ultima imagen (La castañera) en Fuencaliente son 10 Km.  Lo mas dura es que para volver a la Venta, punto de partida para recoger el coche te quedan 3 kilometros de carretera local. esto desluce bastante esta maravillosa ruta. Por dicho motivo, no la valoro más alto.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag68
Mucho asfalto,2020-06-01,Individual,"La propuesta de la ruta es interesante, pero la ruta es lamentable, que en Asturias te lleven por carretera más de 3 kilómetros, no tiene perdón, carretera estrecha y con niños, peligro constante,  podrían hacer una senda paralela al rio y hacerla espectacular.Hay mucho espacio natural en Asturias para tener que ir por asfalto, lamentable",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag69
Camín Encantau,2020-02-01,Familia,"Ruta de unos 9 km muy recomendable para familias . Nos llevamos los bocadillos para comer por el camino y con paradas fotográficas y demás tardamos unas cuatro horas . Se camina a través de un robledal y por por alguna zona de eucaliptos. Muy bonito el paisaje asturiano y además de vez en cuando te premian con una escultura tallada en madera de los seres mitológicos asturianos. El último tramo, unos 2 km, se camina por carretera. El resto es todo naturaleza. Volveríamos sin duda.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag70
Recomendable,2020-02-01,Individual,"Un paseo largo de más de 3 horas pero apto para todos los públicos. Hay zonas más boscosas y otras más rurales cruzando pueblos. En cualquier caso, merece la pena, pasear y encontrarse con todas las esculturas mitológicas con su mensaje de cuidado a la naturaleza.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag71
Segunda visita a Llanes y segunda vez que la hacemos,2019-10-01,Familia,"Nos encanta esta ruta. No entraña dificultad y disfrutas de unas vistas preciosas y de tallas de madera de figuras de la mitología Astur durante todo el camino. Como contrapunto decir que los últimos 2 km son de asfalto, si bien no entrañaba mucho peligro ya que nos cruzaríamos con 4 coches en total",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag72
Ruta camino encantado,2023-10-01,Parejas,Ruta sin nada especial. Al principio cuestas muy elevadas. Tan pronto vas por camino como por carretera. No volveria,CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag73
El Camin Encantau,2019-08-01,Familia,"Ruta que no responde a las expectativas,ya que mas que camin encantau se deberia de llamar camin asfaltau,no es un sendero",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag74
Ruta interesante,2019-08-01,Parejas,"Este camino por el bosque, salpicado de figuras mitológicas locales, tiene unas bonitas vistas desde lo alto.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag75
Un paseo sin mucho interés,2019-08-01,Familia,"Hoy hemos hecho el camino que tantas ganas teníamos dada la fama que tenía. Es una subida a monte como cualquier excursión que puedas planear, no hay demasiado paisaje que te enamore ni te encante, vas por senda, a veces carretera y otras entre las calles de algunos de los pueblos por los que se pasa. Las esculturas mitológicas son interesantes el leer la información y conocer un poco más a ésta maravillosa tierra que es Asturias. Yo personalmente no recomendaría hacerla con niños muy pequeños ya que es casi imposible llevar una silla depende del tramo, hay muchas piedras, caminos embarrados sí ha llovido recientemente y una subida al principio de la ruta que te quitan las ganas, pero seguro que algún/a valiente lo ha hecho. Yo creo que no volveré porque no es gran cosa, pero no os quedéis con las opiniones y comprobarlo porque igual os encanta.",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag76
Buena caminata,2019-07-01,Familia,"Una ruta muy bonita, con encanto, porque cada cierta distancia hay figuras mitológicas, la pena que los carteles algunos ya están deteriorados y deberían cambiarlos.... Con niños pequeños, tomarlo con calma, porque hay algún que otro repecho, pero al ir cada poco con las figuras mitológicas les entretiene. Llevar agua y comida para el camino para parar en cualquier de los lugares preciosos que nos brinda... Y al llegar a la última figura la Castañera, recordad que hay que volver a la carretera y 2 km por ella que es el tramo que más pesado se hace porque no dejan de pasar coches.... Deberían hacer una calzada peatonal durante esa parte del recorrido",CaminEncantau,Patrimonio natural,Paisaje,Mitología,Asturias,tag77
