ID,Textos
TW0014,"Publicación de la Guía de Campo de las IX Jornadas del Grupo de Geografía Económica de la AGE    Transición energética, patrimonio industrial y agroindustria renovada en la provincia de Ciudad Real  Se puede acceder en:  "
TW0015," Patrimonio Industrial cosas feas e inservibles, ah, pero cuando hay que restaurar pazos y edificios históricos para que no se caigan... ahí calladitos."
TW0016,"    El Cabildo de los arqueólogos funcionarios no te va a recomendar el libro de Amara Florido, con más información sobre el tema: el patrimonio industrial de  "
TW0017," Aún no has vivido la  de entrar en un    Si todavía no lo has hecho, te esperamos en nuestras  de los viernes.  Reserva tu entrada en         "
TW0018,        CONMEMORACIÓN:  la UD Morón CF se hizo un Reconocimiento al Patrimonio Industrial en la Asamblea de Socios celebrada el pasado viernes 26 de mayo de 2023. 2 6             
TW0019,La  en Galicia también es historia. Desde la COMG seguimos apoyando aquellos proyectos que mantienen vivo el  de nuestra región y que le dan una segunda vida a explotaciones mineras ya cerradas.  (Viveiro)  
TW0020,"Este es un proyecto de investigación adjudicado al fondo del patrimonio cultural, en el cual he trabajado en conjunto a Andrea Berger y Andrea Valenzuela, indagando sobre el patrimonio industrial del Barrio el Almendral.. "
TW0021,Patrimonio Industrial  lo mejor de la gastronomía del centro de Asturias  qué te parece el plan  Lee con atención la propuesta de    
TW0022,"Hace solo unos meses nos contó su historia, la del último maquinista de la histórica locomotora cordobesa de 1864. Hoy, quienes luchan por conservar esta máquina como patrimonio industrial de Córdoba, le recuerdan. 1 2  a través de "
TW0023,Estamos de enhorabuena. Han incluido la Fábrica de Armas de La Vega en la lista roja del patrimonio industrial. Una visibilización a nivel nacional e internacional de mucho valor. La presión en defensa de La Vega sigue creciendo. Seguimos   
TW0024," Damos la bienvenida al fin de semana con la chimenea   Mónica , único vestigio de la antigua fundición de plomo de Los Guindos,    "
TW0025," Destrucción del patrimonio industrial, una vez más"
TW0026,"La  columna vertebral de   El río  viaja 23 kilómetros desde la capital de  hasta el   , recorriendo todo nuestro patrimonio industrial.      "
TW0027,    En increible la cantidad de patrimonio industrial que se perdió.
TW0028,"  Somos  para poner en valor nuestro Patrimonio Industrial, proteger nuestro entorno natural y luchar por empleos dignos.    Con       El próximo 28 de mayo vota a Esquerra Unida   Unides Podem,        "
TW0029,Ginés Garrido nos detalla su intervención en el parque de la ribera del Nervión. Un proyecto ejemplar en su forma de rehabilitar el patrimonio industrial.  
TW0030,"El movimiento obrero, el gran olvidado en el patrimonio industrial. Por Alejandro Martínez                "
TW0031,"La Ciuden de Ponferrada es un ejemplo de puesta en valor del patrimonio industrial. Además de museo con testimonios de los antiguos trabajadores, hay un  bosque carbonífero  con plantas australianas y una exposición sobre la comunidad caboverdiana. "
TW0032,"Coidamos e poñemos en valor o noso patrimonio histórico e natural   .   Sargadelos pode considerarse o santuario do patrimonio industrial de Galicia , sendo declarado no ano 1972 como Conxunto Histórico Artístico de Sargadelos"
TW0033,"Cuidamos y ponemos en valor nuestro patrimonio histórico y natural   .   Sargadelos puede considerarse el santuario del patrimonio industrial de Galicia , siendo declarado en el año 1972 como Conjunto Histórico Artístico de Sargadelos                    "
TW0034,  Rehabilitaremos el Palacio Monterrón para convertirlo en todo un referente del patrimonio industrial y el cooperativismo de Euskadi.       
TW0035,El Centro Cultural La Carmela forma parte del patrimonio industrial de    Conoce más sobre este espacio que ahora impulsa la cultura aquí      
TW0036," Vete haciendo  para el fin de semana     3  y  para conocer el  industrial de Bizkaia    Descúbre curiosidades, espectáculos y descubre museos únicos relacionados con nuestro reciente pasado industrial      "
TW0037,"dw_espanol: Si le interesan los  de  el  el patrimonio industrial o los volcanes, estas rutas ofrecen siempre algo para todos los gustos. Aquí, las mejores imágenes. (cp). "
TW0038,"El movimiento obrero, el gran olvidado en el patrimonio industrial  Alejandro Martínez vía "
TW0039,"Si le interesan los  de  el  el patrimonio industrial o los volcanes, estas rutas ofrecen siempre algo para todos los gustos. Aquí, las mejores imágenes. (cp). "
TW0040,"    No cerraron Correos. Se la vendieron al Deutsche Bank. Años después el banco se la devolvió al Estado. Ahora está en el SEPI(sociedad española del patrimonio industrial), creo. Tienes razón, pero muchas empresas cuando tienen problemas no piden ayuda al Estado. Echan mano de sus"
TW0041,La estación del Norte de   San Sebastián pasa a la Lista Negra del Patrimonio de Hispania Nostra. Hoy en el blog de AVPIOP IOHLEE.          a través de 
TW0042,Buenos días amantes del  Hoy  del intenso fin de semana alrededor de  con una ruta minera y  jornada sobre  y  en la Real Fábrica. Muchas ideas y cosas por hacer. 
TW0043,La máquina de vapor Santa Rita continúa maltratada por las inclemencias del tiempo y herida por corrosión. Un patrimonio industrial más olvidado por el Gobierno Municipal. Mi compromiso es recuperarlo y ponerlo en lugar más significativo y emblemático.       
TW0044,"El movimiento obrero, el gran olvidado en el patrimonio industrial.     Por Alejandro Martínez  "
TW0045,Hoy os proponemos un recorrido por las  en  referencia mundial del  vía  
TW0046,"El movimiento obrero, el gran olvidado en el patrimonio industrial. Por Alejandro Martínez  a través de "
TW0047,"La geógrafa, profesora en la Universidad de León, Paz Benito, líder científica sobre patrimonio industrial en España  "
TW0048,"Denuncian, entre otras, las demoliciones de la  del Norte y del  de Santa Clara.      "
TW0049,  Seguro que no conocen su patrimonio industrial 
TW0050,Jardines históricos y patrimonio. Medio Ambiente y Sostenibilidad. Patrimonio Industrial   Sin contar las de libre elección ni Erasmus xq ahí sería mucho más difícil.
TW0051,En apoyo a los vecinos que reivindican conservar el gran patrimonio industrial de la ciudad de Oviedo y Asturiano  
TW0052,"          Es un elemento del patrimonio industrial, por tanto es un elemento patrimonial."
TW0053,"Buenos días amantes del  Ya en marcha hacia Castellón para luego ir a las jornadas Real Fábrica y Territorio en l Alcora, comienzan a las 10, la entrada es libre, en nave BIC de la Real Fábrica     "
TW0054,"  A que te refieres con sostenibilidad  Málaga ha sido la ciudad económicamente más importante de su región, la de Granada, desde hace siglos. Segunda ciudad industrial de España en el XIX. Si no se nota más, es por el maltrato al patrimonio industrial. Y a cualquier otro."
TW0055,"  A mí que me expliquen cómo se pone en valor el patrimonio industrial si no es conservándose y protegiéndolo, precisamente, de otros menesteres."
TW0056,Esta semana nos publicaron en el blog de AJG un artículo sobre el patrimonio industrial relacionado con el agua en nuestra región. Todo en torno al río Manzanares. Os dejamos un enlace para leerlo: 
TW0057,El Centro Cultural La Carmela forma parte del patrimonio industrial de    Conoce más sobre este espacio que ahora impulsa la cultura aquí     
TW0058,"A mi juicio, el valor patrimonial está en su uso, en que una solución creada a fines del siglo XIX sigue estando vigente hoy. Y el concepto que solucinó la tension entre el uso y la idea de conservar se llama Patrimonio Industrial Vivo. No hay que inventar el agua tibia."
TW0059,"               Entiendo lo que dice, pero no lo comparto. Se ha tragado ud la falacia de que ese  abandono  es legal o casual, y de que patrimonio industrial se puede destruir.  La propiedad tiene obligación de mantener y desarrollar ese suelo y patrimonio, y Ayto tiene que tutelar y obligar."
TW0060, Queremos potenciar el turismo. Tenemos patrimonio industrial y natural   
TW0061, Esperemos que con la nueva titularidad municipal comience una etapa positiva. Esa vieja Herrería es historia viva de esta tierra y merece ser cuidada y puesta en valor para que las nuevas generaciones puedan disfrutar de esa valiosa joya de nuestro patrimonio industrial.
TW0062, En Galicia perdimos las antenas radiolocalizadoras de la WWII por falta de un mínimo de mantenimiento. Hay una dejadez absoluta de las administraciones por la conservación del patrimonio industrial y técnico histórico:  
TW0063,"Se extiende el plazo de recepción de ponencias en la convocatoria de X Coloquio Latinoamericano para la Conservación del Patrimonio Industrial.  Tienes para participar hasta el 05 de junio,  conoce las bases y participa       "
TW0064,"Conoce y disfruta de las actividades artísticas y recreativas del Centro Cultural  La Carmela , recinto que forma parte de la historia del patrimonio industrial de  Visita    "
TW0065,Queremos recuperar el Parque de las Norias creando un viñedo urbano y poner en valor nuestro patrimonio industrial  
TW0066,"Esta área pasaría a convertirse en una de las mayores zonas verdes de la ciudad, con creación de huertos urbanos incluida. Además, supondría la puesta en valor del patrimonio industrial de la ciudad, al restaurarse la antigua fábrica de cerámica. De ahí el nombre: La Tejera. "
TW0067, Urge cerrar filas y seguir defendiendo el corazon de la minería y el patrimonio industrial    Silvia Alvarez Presidenta de la Cámara de negocios y conferencia profesional.  2do Seminario Futuro de la Minería Mexicana     
TW0068,"   Recuperemos también el  industrial de la industria azucarera     No solo la Azucarera, sino también el Ingenio de San Juan, propiedad del Estado.  Un espacio ideal para proyectos de arte, música, teatro, danza, o albergar la Escuela Municipal Agraria. "
TW0069,Cs propone un plan global para  recuperar  el patrimonio industrial del Parque de las Norias de Valladolid 
TW0070,A Caleira de Cobres: de antiguo patrimonio industrial a núcleo socio cultural en Vilaboa  via 
TW0071, Proponemos la creación de un viñedo urbano en el Parque de las Norias y convertir la antigua azucarera en un centro de referencia para la cultura del vino.    Valladolid necesita un plan global que tenga en cuenta todo nuestro patrimonio industrial    
TW0072,"La excepcionalidad del Caminito del Rey, el conjunto de presas y las estaciones de ferrocarril ha llevado a las autoridades a intentar que la Unesco declare el enclave Patrimonio Mundial en la categoría de Patrimonio Industrial Hidroeléctrico.  "
TW0073,A Caleira de Cobres: de antiguo patrimonio industrial a núcleo socio cultural en Vilaboa  Vía:    
TW0074,No tiene nada que ver con  pero sencillamente adoro esta película y quiero compartirlo 
TW0075,"Buenos días amantes del  hoy me he despertado nostálgica y he querido compartir una imagen de las naves de madera de SA Cros de Valencia de 2006, cuando empezaba a estudiar este magnífico conjunto para mi tesis doctoral  "
TW0076,"El Centro Cultural  es parte de la historia del patrimonio industrial del estado de Puebla, contribuye al desarrollo cultural y educativo de la comunidad vecinal, así como de todas y todos aquellos que lo visitan.   con "
TW0077,"Hoy en el municipio de Puna, Potosí, se inauguró  la exposición:  Patrimonio Industrial Minero  y una pequeña muestra de la  Las autoridades del municipio expresaron su agradecimiento por brindar la oportunidad a los estudiantes de tener una muestra de la CNM.    "
TW0078,"Creo que no tenemos Museo de la Técnica porque no se ha puesto en valor nuestro Patrimonio industrial como complejo (tenemos ahora a Barakaldo tratando de competir con Sestao   ).  Es algo factible y necesario para cuidarlo, ponerlo en valor y promocionarlo, también internamente "
TW0079,"      Supongo que es familia de los antiguos propietarios.  Además del valioso patrimonio industrial e histórico que se pierde , el edificio estéticamente es muy interesante con una combinación de ladrillo caravista y elementos art decó."
TW0080,"    El problema con Salyt es que no entraba en el  paquete  de Patrimonio Industrial a proteger (chimeneas). No aparece en el Catálogo General del Patrimonio Histórico Andaluz, que es la  trampa  de la Ley 14 2007, de 26 de noviembre, del Patrimonio Histórico de Andalucía."
TW0081,"Con motivo del Día de los Molinos de Gipuzkoa, este fin de semana se llevarán a cabo 2 visitas guiadas en  para dar a conocer antiguos molinos que fueron utilizados por la industria armera de la época. Te apuntas a este viaje por el  de  "
TW0082,Importante ex hacienda Vichaycoto: un patrimonio industrial en Huánuco 
TW0083,Chimeneas industriales de ladrillo  Blog recomendado por       
TW0084,"Lo que mal empieza, mal acaba.  Se consuma en  el incumplimiento del PGOU, la destrucción del patrimonio industrial, falta de equipamiento local y dotaciones de barrio, para poner el suelo al servicio de espacio basura mayorista.   v "
TW0085,"             Es un suelo calificado como Productivo 4, transformado en  un Leroy Merlin con hotel, mayoristas y parking . Se le ha dado la vuelta al PGOU como un calcetín, al servicio de intereses privados, y además se ha destruido cualquier vestigio de patrimonio industrial. "
TW0086, Uned y Ciuden ponen a pie de patrimonio industrial a la prensa especializada en turismo para impulsar el territorio               
TW0087,"Recuperar el patrimonio industrial de  abriendo nuevas oportunidades para el desarrollo de la ciudad, es algo en lo que nuestra Corporación,  siempre colaborará     Felicidades a  por avanzar en esta extraordinaria iniciativa    "
TW0088,"Ea, el patrimonio industrial a tomar viento. Durante siete décadas fue protagonista del desarrollo urbanístico de Málaga. El derribo de su chimenea industrial con horno Hoffman, única en  contribuye a que desaparezca, un poquito más, la huella industrial de la ciudad."
TW0089,Jornada de Puertas de la Nave almacén de efectos y repuestos de Puerto de Sagunto (Valencia)        
TW0090,Día Internacional de los Museos en el Museo de Cerámica de lAlcora y en la Real Fábrica.      
TW0091,Feliz  Yo recomiendo visitar el Museo  para conocer nuestro patrimonio industrial y la carpintería de Ribera. Visita obligada a quienes vengan por el Palo y quieran conocer algo más de las raíces marineras     Qué Museo recomendáis vosotras  
TW0092,"   Patrimonio industrial, la chimenea debían haberla mantenido en pie. Pero habrán dicho que no tiene interés"
TW0093,"Feliz   Recomiendo el Museo Massó por su combinación de patrimonio industrial, etnográfico y artes plásticas. Sempre o mar  .   Qué museo nos recomendáis vosotras  "
TW0094,Feliz     Hoy entrada GRATIS en visita libre      Apertura del  10:30 a 17:30h.                
TW0095," Hacer allí otro centro comercial teniendo la Rosaleda vacía es un despropósito y lo peor destruyendo el patrimonio industrial. Podían haber hecho centros deportivos, centros culturales o equipamientos que tanto necesitamos."
TW0096,"Proyectos de recuperación de patrimonio industrial convirtiéndolo en equipamiento público, financiados con ayudas europeas, hay unos cuantos en España. Pero para eso hay que tener un alcalde con ganas de trabajar y que no sólo haga lo que le dictan desde la Cámara de Comercio."
TW0097,Máquina liadora de cigarrillos fabricada por La Maquinista Valenciana. Patrimonio industrial de Alicante. 
TW0098,Descubriendo Patrimonio Industrial de Asturias. Museo Ciudadela de Celestino Solar. Gijón  
TW0099,Patrimonio Industrial asturiano.  La central hidráulica de EDP en Proaza: ejemplo de arquitectura de la industria     
TW0100," Para visitarlos, uno puede acudir a la Guía secreta de Córdoba de Francisco Solano Márquez Cruz o, simplemente, aprovechar una mañana en la ciudad andaluza para recorrerlos y disfrutar de este patrimonio industrial tan característico. "
TW0101,"El cronista oficial quirosano, Roberto F. Osorio, mostrará el patrimonio industrial de la ruta a su paso por Quirós    "
TW0102,"Ayer, en Pleno Extraordinario, se dio, por fin, este paso para la reubicación de Química Sintética, con cuyos afectados me entrevisté hace tiempo. Lo vergonzoso es que se haya tardado tanto. La chimenea debe protegerse como Patrimonio Industrial pero, visto lo visto..."
TW0103,"Buenos días amantes del  hoy nuestra bella y abandonada Ceramo de  como   Seguimos son ver el proyecto de rehabilitación que se supone que ya está hecho, o debería estarlo   "
TW0104,A Caleira de Cobres: de antiguo patrimonio industrial a núcleo socio cultural en Vilaboa 
TW0105,"José Pérez Zamora, perito industrial, nos ofrece un interesante y emotivo recorrido a través de las desaparecidas instalaciones de la factoría siderúrgica de Puerto Sagunto, recorriendo todo el proceso de transformación del mineral hasta el acero  "
TW0106,"  Secretaria de Organización de IU Samartín, y centrada en lo académico en la investigación del Patrimonio Industrial y en el estudio de la Vivienda Obrera, Beatriz está especialmente interesada en la salvaguarda del patrimonio histórico artístico de Samartín,   "
TW0107,"Esto de  tiene una pinta de   cumpliendo apresuradamente los mínimos de seguridad aérea , por exigencia de  de tapadillo, por la puerta de atrás y de paso detruyendo Patrimonio Industrial BIC, que tira para atrás..."
TW0108, Incluso con proyectos de recuperación de patrimonio industrial o conversión donde quedarían hasta ESTÉTICOS.
TW0109,"         1. Menos cuento.  2. Quién ha decidido recalificar de productivo a comercial    3. Quién ha determinado el valor como patrimonio industrial   4. Quién ha determinado la calidad de la propuesta comercial, o si puede integrar patrimonio industrial existente "
TW0110,Mil gracias a todas las personas que cada viernes visitáis el Horno Alto n 2 y la Nave Almacén de Efectos y Repuestos   Reserva tu entrada en         
TW0111,"ESTO NO ES UNA ESTACIÓN. La Estación del Norte de Donostia   San Sebastián, de 1864, fue demolida en abril de 2023.          "
TW0112,Descubriendo  de Asturias. Museo Ciudadela de Celestino Solar. Gijón       
TW0113,"Hoy una única entrada en el blog, la Ciudadela de Celestino Solar de Gijón, antiguo espacio de vivienda obrera musealizado   "
TW0114,"Durante las próximas semanas, enmarcadas en la iniciativa  Hemen Urumea  y el colaboración con  realizaremos salidas en bicicleta por los márgenes del río Urumea para conocer su patrimonio industrial y riqueza ambiental.  Apúntate   "
TW0115,"Buenos días amantes del  hoy  muy especial con taller de  para   Un taller similar realizarán este domingo en la Real Fábrica l Alcora, no os lo podéis perder   "
TW0116,"Toledo RIBERA es un proyecto relacionado con la recuperación, protección y difusión del patrimonio industrial de Toledo. Mucho de este patrimonio ha sido expoliado durante estos años.     "
TW0117,Molinos Vascos.   Una vergüenza que el  y  no hagan absolutamente nada.                        
TW0118," Celebramos un nuevo hito en patrimonio industrial   Nuestra central hidráulica de  se ha sido reconocida por la Fundación  encargada de inventariar, divulgar y proteger el patrimonio arquitectónico.   "
TW0119," Sí, has leído bien: Los primeros trabajos realizados sobre la Azucarera San Isidro se presentan ya, este jueves 18 de mayo, Día Internacional de los Museos.  Te esperamos         "
TW0120,"Fin de semana de Real Fábrica y Territorio. Jornada Real Fábrica y Territorio, Didáctica y Turismo Industrial. Domingo 21 de mayo.      "
TW0121,"Fin de semana de Real Fábrica y Territorio, Ruta de las entrañas de la tierra a la Real Fábrica: Ruta de las Minas de Lucena a Araia, 20 de mayo.       "
TW0122,Hoy recordatorio de actividades que habrán dentro del proyecto Real Fábrica y Territorio este próximo fin de semana     
TW0123,Buenos días amantes del  hoy lo que queda de la antigua fábrica de leche El Prado de  como        
TW0124,  Hay asociaciones de Defensa del Patrimonio Histórico. Y suelen denunciar.  Hay tb asociaciones de defensa Patrimonio Industrial. Cuando denuncian se puede quedar paralizada la obra.  En mi comunidad sí q hay
TW0125,"EL PATRIMONIO INDUSTRIAL DE PRADOLUENGO CLAMA ANTE LA ADMINISTRACIÓN REGIONAL: Bien está que  invierta varios millones de euros en Clunia y en Valpuesta, pero que no sea capaz de aportar 120.000 euros para el patrimonio de Pradoluengo, literalmente es una vergüenza. Salud    "
TW0126,Quizás ya incluso interesen a la investigadora canaria del  Amara Florido
TW0127,     La costa del sureste de  alberga uno de los mayores tesoros etnográficos de Canarias: las salinas sobre barro.   Tomás Correa      
TW0128,"       El PP forma parte, muy importante, del problema de España. Aznar completó la venta a precio de saldo, precisamente a los enemigos de España en Europa, del patrimonio industrial español, venta que inició Felipe González y que es el origen del paro endémico que sufrimos."
TW0129,"Tal día como hoy hace 33 años, el 13 de mayo de 1990, el diario El Correo publicaba un artículo recogiendo el trabajo de AVPIOP IOHLEE en Bizkaia. Un colectivo defiende el patrimonio industrial vizcaíno. LA ESTÉTICA DEL HORNO ALTO.   "
TW0130,"Con la Recuperación y Promoción Turística de nuestro Patrimonio Industrial, de Sendas Verdes, Cicloturistas, Gastronomía , Productos Locales asi como nuestra Cultura Asturiana ."
TW0131,"Esta mañana,con las vecinas y vecinos de Uviéu,defendiendo el patrimonio industrial y social de esta ciudad.Un patrimonio compartido que debemos defender y  a la especulación.Salvemos la Vega y la Malatería.  "
TW0132,Galería de imágenes de las visitas teatralizadas al   que en la noche de ayer abrió sus puertas para mostrar a la ciudadanía la labor que realiza y la historia de unos de los espacios más sorprendentes del patrimonio industrial de la ciudad de Sevilla. 
TW0133,  La conservación del patrimonio industrial relativo a centrales electromecánicas de conmutación telefónica y la memoria del trabajo manual especializado asociado  Artículo disponible en  del    
TW0134,"Participar como ponente en el X Coloquio Latinoamericano para la Conservación del Patrimonio Industrial    Tienes hasta el 15 de mayo, consulta más información aquí:    "
TW0135,"Nuestra posición es clara. Conservación integra de La Vega y de todo el trazado.  Sin autopista, sin nueva edificabilidad residencial, sin especulación, con participación ciudadana. SOS patrimonio industrial. Acude el sábado a las 12:00  Salvemos La Vega "
TW0136,Sábado 13 a 12 horas en la plaza del Ayuntamiento. Conservación íntegra de La Vega y de la Maleteria.  Basta de destruir el Patrimonio Industrial e Histórico de Oviedo. 
TW0137,"Nos vemos esta tarde en la Semana Cultural de Olleros de Sabero (León) para hablar de algunos de los muchos recursos turísticos que tiene el Valle de Sabero, vinculados al patrimonio industrial, la naturaleza y el deporte. "
TW0138,"Con el Directorio de  y acompañados por el Intendente de Río Negro  visitamos el Museo del Frigorífico Anglo en Fray Bentos, Patrimonio Industrial de la Humanidad. "
TW0139,"Tratan de quitarnos no solo el propio edificio, sino un rico patrimonio inmaterial de vivencias, de recuerdos, de historias personales. URA, la Agencia Vasca del Agua  nos ha derribado CAF.  "
TW0140,"Con el derribo de la capilla del Santo Cristo de CAF tratan de enterrar también un siglo de la memoria colectiva de una fábrica, de una comunidad, de un pueblo.   "
TW0141,Adios a la capilla del Santo Cristo de la CAF    Un siglo de la capilla de  en vídeo. En cada demolición no solo se llevan a la escombrera el patrimonio material de la industrialización.    
TW0142,El patrimonio industrial Vasco está siendo destruido por la desidia de nuestras propias instituciones 
TW0143,"Bueno para Sestao, pero hecho aislado en el potencial que tiene Bizkaia en  del cual  podía alardear en  Conectar    horno calcinación de Ortuella  Molinos Vascos  Museo de la Industria   "
TW0144,"El Consell de Mallorca declara Bien de Interés Cultural el conjunto de la Central Térmica de Alcanada (Alcudia, Mallorca)      "
TW0145,"Taller didáctico infantil Dioramas, paisajes industriales de Puerto de Sagunto       "
TW0146, apuesta por ser referente en Euskadi del turismo industrial      a través de 
TW0147,Celebramos el  con Puertas abiertas a la Nave Almacén de Efectos y  Repuestos y proyección de películas del archivo de Altos Hornos del Mediterráneo.  Colabora: Archivo Municipal     
TW0148,"Buenos días amantes del  Hoy la Central térmica de Alcanada, en Alcúdia (Mallorca) como  pues se ha declarado BIC   "
TW0149,"INCUNA convoca el XX Certamen Internacional de Fotografía sobre Patrimonio Industrial, con la intención de dar a conocer el amplio campo del patrimonio y paisajes industriales, mediante el arte fotográfico. Más info:    "
TW0150,"Un tema interesantísimo ayer en  El  de  Un legado que, desgraciadamente, la mayoría de ciudades ven desaparecer sin pena ni gloria...  Tiradle al "
TW0151,Otro uso del hueco minero y del patrimonio industrial minero. El SOMA cree que Asturias tiene una  ventaja competitiva  con los pozos mineros para albergar el centro de datos de Meta 
TW0152," Aznar es miembro de la masoneria useña basamentada en  Skull and bones ,  vendió el patrimonio industrial español, inició la invasión migratoria, nos convirtió en la ramera mayor del matón Bush, precarizo el empleo, condenó el franquismo...  Un payaso dañino y miserable"
TW0153,"Respetar el pasado, pensar en el presente y proyectar al futuro nuevos contenidos para dotar de vida a nuestro patrimonio industrial y cultural.   Gracias  por tu compromiso con la parte de quienes nunca tienen parte. "
TW0154,Alimerka es para todos   el mejor patrimonio industrial  
TW0155,"INCUNA   UN FUTURO PARA NUESTRO PASADO: 25  CONFERENCIA INTERNACIONAL SOBRE PATRIMONIO INDUSTRIAL 27 30 septiembre 2023  Gijón, Asturias, España  Tarifa reducida inscripción antes 15 mayo Presentación ponencias antes 15 de julio 2023  Call for Papers:   "
TW0156,"El programa de hoy jueves 11 de mayo estará dedicado al   Patrimonio Industrial de Sevilla: Fábricas de ayer y hoy.  Haremos un recorrido por la historia de las principales factorías industriales que hubo en nuestra ciudad, además del patrimonio que nos han legado "
TW0157,    Abierto el plazo de aceptación de contribuciones para las III Jornadas Iberoamericanas de Jóvenes Investigadores en Patrimonio Industrial 
TW0158,"Esta lucha es importante. Viviendas sociales sí, pero no aquí.  La Vega es patrimonio industrial (cultural) y zona verde: que no nos la cuelen con las viviendas sociales porque hay terrenos de sobra en otras zonas para ello y detrás del plan de La Vega solo hay especulación. "
TW0159,"El patrimonio industrial minero hay que valorarlo y cuidarlo, y ellos lo hacen mejor que nadie      Cristina Velasco   "
TW0160,  Plazo para contribuciones abierto    Las III Jornadas Iberoamericanas de Jóvenes Investigadores en Patrimonio Industrial se celebrarán del 13 al 17 de noviembre en  y están dirigidas a estudiantes de Máster o Doctorado    
TW0161,"Nuestra posición es clara. Conservación integra de La Vega y de todo el trazado.  Sin autopista, sin nueva edificabilidad residencial, sin especulación, con participación ciudadana. SOS patrimonio industrial. Acude el sábado a las 12:00  Salvemos La Vega  "
TW0162,"Libro 101 monumentos que tus hijos tal vez no verán, lugares industriales.      "
TW0163,"5# Fábrica de Herreros  El patrimonio industrial también no tiene parangón. Aprovecha y disfruta en los antiguos molinos, azudes o la construcción icónica de Barbadillo de Herreros.   Cuál más puntos añadirías a la lista  "
TW0164,"Hoy en el blog, una sola entrada sobre un interesante libro guía sobre patrimonio abandonado y destruido.   "
TW0165,"      Desde el año 2018.  En la Cuenca del Nalón, La Felguera es una zona geográfica e histórica de Asturias conocida por su pasado minero y su patrimonio industrial.  Estamos en C Dibujante Falo, 2.   |  "
TW0166,Buenos días amantes del  Hoy detalles del Museo del Arroz de Valencia (Molí Serra) como    
TW0167, Sabes dónde estamos    Compartimos esta imagen de nuestra visita a la empresa familiar de artesanos sombrereros más querida de  y que sigue en funcionamiento desde 1885.     
TW0168,No todo uso del patrimonio industrial tiene que estar ligado a usos culturales.  
TW0169,"otra vez nos quedamos sin patrimonio industrial   aquí se pueden ver  fotitos de lo bonita que es :,) "
TW0170," Que desastre, suma y sigue. Aquí en Zaragoza pasa lo mismo, ni la Gerencia de Urbanismo ni los departamentos correspondientes tienen el mínimo interés en la protección del patrimonio en general y por supuesto del patrimonio industrial. Vergüenza. Se están pasando 20 pueblos."
TW0171," Soy de Cádiz, he ido incontables veces a Oviedo y no me canso de ver ese patrimonio industrial e historico de la ciudad como un espacio de oportunidad para la ciudadania, pero ninguna pasa por convertir aquello en un nuevo barrio."
TW0172,Podcast Patrimonio industrial: el gran valor de un legado abandonado. Programa El Gallo que no cesa de rne.  
TW0173,"Podcast La demolición del patrimonio industrial en España, programa Punto de enlace.  "
TW0174,"  Qué se han propuesto en País Vasco, hacer desaparecer en 15 días más de un siglo de patrimonio industrial "
TW0175,"Economía neoliberal contra patrimonio arquitectónico.   Casos como el de los Molinos Vascos, en  son un escenario de feroz contienda entre la administración pública, la propiedad privada y las asociaciones de defensa del patrimonio industrial.  ."
